ClassName,layer
com.itextpdf.text.ExceptionConverter,0
com.itextpdf.text.pdf.qrcode.Version,2
com.itextpdf.text.pdf.codec.wmf.MetaObject,0
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,2
com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy,11
com.itextpdf.text.pdf.fonts.FontsResourceAnchor,0
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,10
com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,3
com.itextpdf.text.TextElementArray,3
com.itextpdf.text.pdf.CMapAwareDocumentFont,6
com.itextpdf.text.pdf.IntHashtable$Entry,3
com.itextpdf.text.pdf.internal.PdfXConformanceImp,3
com.itextpdf.text.pdf.PdfEncodings$SymbolConversion,3
com.itextpdf.text.pdf.ShadingColor,3
com.itextpdf.text.pdf.qrcode.BitArray,0
com.itextpdf.text.pdf.qrcode.ByteMatrix,0
com.itextpdf.text.html.simpleparser.ImageStore,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState,10
com.itextpdf.text.pdf.codec.TiffImage,3
com.itextpdf.text.xml.xmp.XmpReader,1
com.itextpdf.text.pdf.OcspClient,0
com.itextpdf.text.pdf.BarcodePostnet,5
com.itextpdf.text.exceptions.UnsupportedPdfException,1
com.itextpdf.text.pdf.CFFFont$UInt16Item,3
com.itextpdf.text.pdf.PdfOCG,3
com.itextpdf.text.html.simpleparser.ImageProvider,7
com.itextpdf.text.pdf.collection.PdfTargetDictionary,3
com.itextpdf.text.pdf.PdfFileSpecification,3
com.itextpdf.text.pdf.interfaces.PdfVersion,3
com.itextpdf.text.FontFactoryImp,3
com.itextpdf.text.pdf.richmedia.RichMediaParams,4
com.itextpdf.text.pdf.collection.PdfCollection,3
com.itextpdf.text.Section,3
com.itextpdf.text.xml.xmp.XmpBasicSchema,1
com.itextpdf.text.pdf.parser.TextRenderInfo,8
com.itextpdf.text.pdf.PdfLister,4
com.itextpdf.text.pdf.CFFFont$UInt32Item,3
com.itextpdf.text.pdf.PdfSignatureAppearance$RangeStream,5
com.itextpdf.text.Annotation,3
com.itextpdf.text.html.HtmlTags,0
com.itextpdf.text.pdf.crypto.IVGenerator,1
com.itextpdf.text.pdf.qrcode.MaskUtil,5
com.itextpdf.text.pdf.SequenceList,0
com.itextpdf.text.pdf.StampContent,3
com.itextpdf.text.pdf.PRTokeniser,3
com.itextpdf.text.pdf.PdfSignatureAppearance$1,5
com.itextpdf.text.pdf.codec.PngWriter,4
com.itextpdf.text.pdf.qrcode.ReedSolomonException,0
com.itextpdf.text.pdf.PdfNull,3
com.itextpdf.text.Anchor,3
com.itextpdf.text.pdf.BarcodePDF417,4
com.itextpdf.text.pdf.internal.PolylineShapeIterator,3
com.itextpdf.text.pdf.codec.TiffWriter,2
com.itextpdf.text.pdf.richmedia.RichMediaActivation,7
com.itextpdf.text.pdf.PdfBorderArray,3
com.itextpdf.text.html.simpleparser.StyleSheet,7
com.itextpdf.text.pdf.Barcode,4
com.itextpdf.text.pdf.PdfNumberTree,3
com.itextpdf.text.pdf.PdfGraphics2D$Kid,3
com.itextpdf.text.pdf.PdfLayerMembership,3
com.itextpdf.text.pdf.XfaForm$Xml2SomDatasets,3
com.itextpdf.text.pdf.PdfEncryption,3
com.itextpdf.text.pdf.CFFFont$UInt24Item,3
com.itextpdf.text.pdf.parser.XObjectDoHandler,10
com.itextpdf.text.error_messages.MessageLocalization,3
com.itextpdf.text.pdf.PdfCopy$PageStamp,4
com.itextpdf.text.pdf.PdfFormField,3
com.itextpdf.text.pdf.PdfResources,3
com.itextpdf.text.pdf.PdfDeveloperExtension,3
com.itextpdf.text.pdf.PdfColor,3
com.itextpdf.text.pdf.PdfReaderInstance,3
com.itextpdf.text.pdf.BarcodeEANSUPP,5
com.itextpdf.text.pdf.PdfDictionary,3
com.itextpdf.text.SplitCharacter,3
com.itextpdf.text.pdf.interfaces.PdfEncryptionSettings,1
com.itextpdf.text.pdf.codec.JBIG2Image,3
com.itextpdf.text.pdf.codec.Base64$InputStream,3
com.itextpdf.text.pdf.codec.TIFFField,0
com.itextpdf.text.pdf.MultiColumnText$ColumnDef,3
com.itextpdf.text.pdf.CFFFont$DictOffsetItem,3
com.itextpdf.text.pdf.codec.TIFFDirectory,3
com.itextpdf.text.exceptions.IllegalPdfSyntaxException,0
com.itextpdf.text.pdf.PdfNameTree,3
com.itextpdf.text.pdf.ExtraEncoding,0
com.itextpdf.text.pdf.events.IndexEvents,5
com.itextpdf.text.pdf.PdfCopy$RefKey,4
com.itextpdf.text.pdf.PdfSignature,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextHorizontalScaling,10
com.itextpdf.text.pdf.events.IndexEvents$Entry,5
com.itextpdf.text.pdf.PdfTransparencyGroup,3
com.itextpdf.text.pdf.hyphenation.CharVector,0
com.itextpdf.text.pdf.OutputStreamCounter,0
com.itextpdf.text.pdf.PdfWriter,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$TextSetTextMatrix,10
com.itextpdf.text.pdf.Pfm2afm,3
com.itextpdf.text.pdf.codec.wmf.Point,0
com.itextpdf.text.pdf.codec.TIFFFaxDecoder,3
com.itextpdf.text.BadElementException,1
com.itextpdf.text.MarkedObject,3
com.itextpdf.text.pdf.FontMapper,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$BeginText,10
com.itextpdf.text.pdf.PdfCopyFieldsImp,3
com.itextpdf.text.pdf.Type3Font,5
com.itextpdf.text.pdf.DefaultFontMapper$BaseFontParameters,3
com.itextpdf.text.pdf.PdfDocument$Destination,3
com.itextpdf.text.Chunk,3
com.itextpdf.text.pdf.PdfBoolean,3
com.itextpdf.text.pdf.AcroFields$RevisionStream,3
com.itextpdf.text.pdf.richmedia.RichMediaInstance,5
com.itextpdf.text.ImgJBIG2,3
com.itextpdf.text.pdf.PdfPrinterGraphics2D,3
com.itextpdf.text.PageSize,3
com.itextpdf.text.ZapfDingbatsList,4
com.itextpdf.text.pdf.PdfPageElement,4
com.itextpdf.text.xml.simpleparser.EntitiesToUnicode,0
com.itextpdf.text.pdf.FdfWriter$Wrt,3
com.itextpdf.text.pdf.MappedRandomAccessFile$1,0
com.itextpdf.text.pdf.PdfDocument$PdfCatalog,3
com.itextpdf.text.pdf.EnumerateTTC,3
com.itextpdf.text.pdf.PdfObject,3
com.itextpdf.text.pdf.VerticalText,4
com.itextpdf.text.pdf.PdfException,1
com.itextpdf.text.pdf.parser.InlineImageUtils,6
com.itextpdf.text.pdf.qrcode.BitMatrix,1
com.itextpdf.text.pdf.TrueTypeFont$WindowsMetrics,3
com.itextpdf.text.pdf.XfaForm$Xml2Som,3
com.itextpdf.text.pdf.hyphenation.Hyphenation,0
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ShowText,10
com.itextpdf.text.pdf.draw.LineSeparator,5
com.itextpdf.text.pdf.PdfSpotColor,3
com.itextpdf.text.pdf.codec.JBIG2SegmentReader$JBIG2Segment,3
com.itextpdf.text.pdf.PushbuttonField,3
com.itextpdf.text.pdf.BidiOrder,3
com.itextpdf.text.pdf.Barcode128,5
com.itextpdf.text.pdf.events.PdfPCellEventForwarder,3
com.itextpdf.text.DocumentException,0
com.itextpdf.text.pdf.qrcode.ReedSolomonEncoder,1
com.itextpdf.text.pdf.PdfEncodings$Cp437Conversion,3
com.itextpdf.text.pdf.PdfPTableEventSplit,3
com.itextpdf.text.pdf.qrcode.MatrixUtil,6
com.itextpdf.text.pdf.CFFFont$StringItem,3
com.itextpdf.text.pdf.PdfEncodings$1,3
com.itextpdf.text.pdf.PdfLayer,3
com.itextpdf.text.pdf.TextField,3
com.itextpdf.text.pdf.CFFFont$Item,3
com.itextpdf.text.pdf.events.IndexEvents$1,5
com.itextpdf.text.pdf.CJKFont,3
com.itextpdf.text.pdf.PdfReader,3
com.itextpdf.text.pdf.qrcode.Version$ECBlocks,2
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ShowTextArray,10
com.itextpdf.text.pdf.PRIndirectReference,3
com.itextpdf.text.html.WebColors,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$EndMarkedContent,10
com.itextpdf.text.pdf.PdfPageEventHelper,4
com.itextpdf.text.pdf.parser.ContentByteUtils,4
com.itextpdf.text.html.simpleparser.HTMLTagProcessor,9
com.itextpdf.text.pdf.interfaces.PdfXConformance,0
com.itextpdf.text.pdf.hyphenation.SimplePatternParser,4
com.itextpdf.text.Chapter,3
com.itextpdf.text.pdf.CFFFont$SubrMarkerItem,3
com.itextpdf.text.pdf.richmedia.RichMediaDeactivation,4
com.itextpdf.text.pdf.codec.LZWCompressor,1
com.itextpdf.text.ListItem,3
com.itextpdf.text.Meta,3
com.itextpdf.text.pdf.crypto.AESCipher,0
com.itextpdf.text.pdf.codec.wmf.MetaBrush,3
com.itextpdf.text.pdf.PdfSmartCopy,5
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$BeginMarkedContentDictionary,10
com.itextpdf.text.pdf.collection.PdfCollectionField,3
com.itextpdf.text.pdf.PdfPage,3
com.itextpdf.text.pdf.PdfPattern,3
com.itextpdf.text.pdf.internal.PdfViewerPreferencesImp,3
com.itextpdf.text.pdf.interfaces.PdfAnnotations,3
com.itextpdf.text.Font$FontStyle,3
com.itextpdf.text.pdf.PdfStamperImp,3
com.itextpdf.text.pdf.qrcode.CharacterSetECI,0
com.itextpdf.text.pdf.PdfName,3
com.itextpdf.text.Element,3
com.itextpdf.text.pdf.internal.PdfAnnotationsImp,3
com.itextpdf.text.xml.xmp.XmpSchema,0
com.itextpdf.text.pdf.events.FieldPositioningEvents,5
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$1,10
com.itextpdf.text.DocWriter,3
com.itextpdf.text.pdf.parser.PdfImageObject,5
com.itextpdf.text.pdf.PdfDocument$Indentation,3
com.itextpdf.text.pdf.PdfPKCS7$X509NameTokenizer,3
com.itextpdf.text.Rectangle,3
com.itextpdf.text.pdf.PdfChunk,3
com.itextpdf.text.pdf.XfaForm$Xml2SomTemplate,3
com.itextpdf.text.pdf.codec.TiffWriter$FieldUndefined,2
com.itextpdf.text.xml.simpleparser.SimpleXMLDocHandlerComment,0
com.itextpdf.text.pdf.PdfStructureElement,3
com.itextpdf.text.pdf.codec.PngImage,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$IgnoreXObjectDoHandler,10
com.itextpdf.text.pdf.parser.PdfTextExtractor,12
com.itextpdf.text.pdf.PdfContentByte$GraphicState,3
com.itextpdf.text.pdf.SimpleBookmark,3
com.itextpdf.text.pdf.collection.PdfCollectionSort,3
com.itextpdf.text.pdf.qrcode.WriterException,0
com.itextpdf.text.pdf.CFFFont$IndexBaseItem,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$MoveNextLineAndShowText,10
com.itextpdf.text.pdf.codec.wmf.InputMeta,3
com.itextpdf.text.pdf.PdfContentParser$1,3
com.itextpdf.text.pdf.events.PdfPageEventForwarder,3
com.itextpdf.text.xml.simpleparser.SimpleXMLParser,3
com.itextpdf.text.html.simpleparser.HTMLTagProcessors,9
com.itextpdf.text.pdf.codec.JBIG2SegmentReader$JBIG2Page,3
com.itextpdf.text.pdf.PdfSignatureAppearance$RenderingMode,5
com.itextpdf.text.pdf.codec.wmf.MetaFont,3
com.itextpdf.text.pdf.PdfNumber,3
com.itextpdf.text.pdf.parser.TextExtractionStrategy,10
com.itextpdf.text.pdf.PdfAction,3
com.itextpdf.text.pdf.GlyphList,3
com.itextpdf.text.pdf.PdfWriter$PdfTrailer,3
com.itextpdf.text.pdf.parser.PdfReaderContentParser,11
