ClassName,layer
com.itextpdf.text.ExceptionConverter,0
com.itextpdf.text.pdf.qrcode.Version,2
com.itextpdf.text.pdf.LtvVerification$1,6
com.itextpdf.text.pdf.codec.wmf.MetaObject,0
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,2
com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy,10
com.itextpdf.text.pdf.fonts.FontsResourceAnchor,0
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,9
com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,4
com.itextpdf.text.TextElementArray,4
com.itextpdf.text.pdf.CMapAwareDocumentFont,5
com.itextpdf.text.pdf.IntHashtable$Entry,4
com.itextpdf.text.pdf.internal.PdfXConformanceImp,4
com.itextpdf.text.pdf.PdfEncodings$SymbolConversion,4
com.itextpdf.text.pdf.ShadingColor,4
com.itextpdf.text.pdf.qrcode.BitArray,0
com.itextpdf.text.pdf.qrcode.ByteMatrix,0
com.itextpdf.text.html.simpleparser.ImageStore,5
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState,9
com.itextpdf.text.pdf.codec.TiffImage,4
com.itextpdf.text.xml.xmp.XmpReader,1
com.itextpdf.text.pdf.OcspClient,0
com.itextpdf.text.pdf.BarcodePostnet,6
com.itextpdf.text.exceptions.UnsupportedPdfException,1
com.itextpdf.text.pdf.CFFFont$UInt16Item,4
com.itextpdf.text.pdf.PdfOCG,4
com.itextpdf.text.html.simpleparser.ImageProvider,8
com.itextpdf.text.pdf.collection.PdfTargetDictionary,4
com.itextpdf.text.pdf.PdfFileSpecification,4
com.itextpdf.text.pdf.interfaces.PdfVersion,4
com.itextpdf.text.FontFactoryImp,4
com.itextpdf.text.pdf.collection.PdfCollection,4
com.itextpdf.text.pdf.parser.InlineImageInfo,5
com.itextpdf.text.Section,4
com.itextpdf.text.xml.xmp.XmpBasicSchema,3
com.itextpdf.awt.geom.GeneralPath$Iterator,4
com.itextpdf.text.pdf.parser.TextRenderInfo,7
com.itextpdf.text.pdf.PdfLister,5
com.itextpdf.awt.geom.Line2D$Double,4
com.itextpdf.text.pdf.CFFFont$UInt32Item,4
com.itextpdf.text.pdf.PdfSignatureAppearance$RangeStream,6
com.itextpdf.text.Annotation,4
com.itextpdf.text.html.HtmlTags,0
com.itextpdf.text.pdf.crypto.IVGenerator,1
com.itextpdf.text.pdf.qrcode.MaskUtil,5
com.itextpdf.text.pdf.SequenceList,0
com.itextpdf.text.pdf.StampContent,4
com.itextpdf.text.pdf.PRTokeniser,4
com.itextpdf.text.pdf.PdfSignatureAppearance$1,6
com.itextpdf.text.pdf.codec.PngWriter,5
com.itextpdf.awt.geom.Point2D$Float,1
com.itextpdf.text.pdf.qrcode.ReedSolomonException,0
com.itextpdf.text.pdf.PdfNull,4
com.itextpdf.text.Anchor,4
com.itextpdf.text.pdf.BarcodePDF417,5
com.itextpdf.text.pdf.codec.TiffWriter,2
com.itextpdf.text.pdf.PdfBorderArray,4
com.itextpdf.text.html.simpleparser.StyleSheet,8
com.itextpdf.text.pdf.Barcode,5
com.itextpdf.text.pdf.PdfNumberTree,4
com.itextpdf.text.pdf.PdfLayerMembership,4
com.itextpdf.text.pdf.XfaForm$Xml2SomDatasets,4
com.itextpdf.text.pdf.fonts.cmaps.AbstractCMap,4
com.itextpdf.text.pdf.PdfEncryption,4
com.itextpdf.text.pdf.CFFFont$UInt24Item,4
com.itextpdf.text.pdf.parser.XObjectDoHandler,9
com.itextpdf.text.error_messages.MessageLocalization,4
com.itextpdf.text.pdf.PdfCopy$PageStamp,5
com.itextpdf.text.pdf.PdfFormField,4
com.itextpdf.text.pdf.PdfResources,4
com.itextpdf.text.pdf.LongHashtable,4
com.itextpdf.text.pdf.PdfDeveloperExtension,4
com.itextpdf.text.pdf.PdfColor,4
com.itextpdf.text.pdf.PdfReaderInstance,4
com.itextpdf.text.pdf.BarcodeEANSUPP,6
com.itextpdf.awt.geom.misc.Messages,0
com.itextpdf.text.pdf.PdfDictionary,4
com.itextpdf.text.SplitCharacter,4
com.itextpdf.text.pdf.interfaces.PdfEncryptionSettings,1
com.itextpdf.text.pdf.codec.JBIG2Image,4
com.itextpdf.awt.geom.Rectangle2D$Iterator,4
com.itextpdf.text.pdf.codec.Base64$InputStream,4
com.itextpdf.text.pdf.codec.TIFFField,0
com.itextpdf.text.pdf.MultiColumnText$ColumnDef,4
com.itextpdf.text.pdf.CFFFont$DictOffsetItem,4
com.itextpdf.text.pdf.codec.TIFFDirectory,4
com.itextpdf.text.exceptions.IllegalPdfSyntaxException,0
com.itextpdf.text.pdf.PdfNameTree,4
com.itextpdf.text.pdf.ExtraEncoding,0
com.itextpdf.text.pdf.LtvVerification$CertificateInclusion,6
com.itextpdf.text.pdf.LtvVerification$CertificateOption,6
com.itextpdf.text.pdf.events.IndexEvents,6
com.itextpdf.text.pdf.PdfCopy$RefKey,5
com.itextpdf.text.pdf.PdfSignature,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextHorizontalScaling,9
com.itextpdf.text.pdf.events.IndexEvents$Entry,6
com.itextpdf.text.pdf.PdfTransparencyGroup,4
com.itextpdf.text.pdf.hyphenation.CharVector,0
com.itextpdf.text.pdf.OutputStreamCounter,0
com.itextpdf.text.pdf.PdfWriter,4
com.itextpdf.awt.DefaultFontMapper,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$TextSetTextMatrix,9
com.itextpdf.text.pdf.crypto.AESCipherCBCnoPad,0
com.itextpdf.text.pdf.Pfm2afm,4
com.itextpdf.text.pdf.codec.wmf.Point,0
com.itextpdf.text.pdf.codec.TIFFFaxDecoder,4
com.itextpdf.text.BadElementException,1
com.itextpdf.text.MarkedObject,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$BeginText,9
com.itextpdf.text.pdf.PdfCopyFieldsImp,4
com.itextpdf.text.pdf.Type3Font,6
com.itextpdf.text.pdf.PdfDocument$Destination,4
com.itextpdf.text.pdf.fonts.cmaps.CidLocationFromByte,4
com.itextpdf.text.Chunk,4
com.itextpdf.text.pdf.PdfBoolean,4
com.itextpdf.text.pdf.FilterHandlers$Filter_RUNLENGTHDECODE,4
com.itextpdf.text.pdf.AcroFields$RevisionStream,4
com.itextpdf.awt.geom.Line2D$Float,4
com.itextpdf.text.ImgJBIG2,4
com.itextpdf.text.pdf.NumberArray,4
com.itextpdf.text.pdf.parser.PdfImageObject$1,6
com.itextpdf.text.PageSize,4
com.itextpdf.text.pdf.FilterHandlers$Filter_ASCII85DECODE,4
com.itextpdf.text.ZapfDingbatsList,5
com.itextpdf.text.pdf.PdfPageElement,5
com.itextpdf.text.xml.simpleparser.EntitiesToUnicode,0
com.itextpdf.text.pdf.FdfWriter$Wrt,4
com.itextpdf.awt.geom.misc.RenderingHints$KeyValue,0
com.itextpdf.text.pdf.MappedRandomAccessFile$1,0
com.itextpdf.text.pdf.PdfDocument$PdfCatalog,4
com.itextpdf.awt.geom.CubicCurve2D,4
com.itextpdf.text.pdf.EnumerateTTC,4
com.itextpdf.text.pdf.PdfObject,4
com.itextpdf.text.pdf.VerticalText,5
com.itextpdf.text.pdf.PdfException,1
com.itextpdf.text.api.WriterOperation,4
com.itextpdf.text.pdf.parser.InlineImageUtils,6
com.itextpdf.text.pdf.qrcode.BitMatrix,1
com.itextpdf.text.pdf.TrueTypeFont$WindowsMetrics,4
com.itextpdf.text.pdf.XfaForm$Xml2Som,4
com.itextpdf.text.pdf.hyphenation.Hyphenation,0
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ShowText,9
com.itextpdf.text.pdf.FilterHandlers$FilterHandler,4
com.itextpdf.text.pdf.draw.LineSeparator,4
com.itextpdf.text.pdf.FilterHandlers$1,4
com.itextpdf.text.pdf.PdfSpotColor,4
com.itextpdf.text.log.Logger,1
com.itextpdf.text.pdf.codec.JBIG2SegmentReader$JBIG2Segment,4
com.itextpdf.text.pdf.PushbuttonField,4
com.itextpdf.awt.FontMapper,4
com.itextpdf.text.pdf.BidiOrder,4
com.itextpdf.text.pdf.Barcode128,6
com.itextpdf.text.pdf.events.PdfPCellEventForwarder,4
com.itextpdf.text.DocumentException,0
com.itextpdf.awt.geom.PathIterator,0
com.itextpdf.text.pdf.qrcode.ReedSolomonEncoder,1
com.itextpdf.text.pdf.PdfEncodings$Cp437Conversion,4
com.itextpdf.text.pdf.PdfPTableEventSplit,4
com.itextpdf.text.pdf.qrcode.MatrixUtil,6
com.itextpdf.text.pdf.CFFFont$StringItem,4
com.itextpdf.text.pdf.PdfEncodings$1,4
com.itextpdf.text.pdf.PdfLayer,4
com.itextpdf.text.pdf.TextField,4
com.itextpdf.text.pdf.CFFFont$Item,4
com.itextpdf.text.pdf.events.IndexEvents$1,6
com.itextpdf.text.pdf.CJKFont,4
com.itextpdf.text.pdf.PdfReader,4
com.itextpdf.text.pdf.qrcode.Version$ECBlocks,2
com.itextpdf.text.xml.XmlToTxt,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ShowTextArray,9
com.itextpdf.text.pdf.PRIndirectReference,4
com.itextpdf.text.html.WebColors,5
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$EndMarkedContent,9
com.itextpdf.text.pdf.PdfPageEventHelper,5
com.itextpdf.text.pdf.parser.ContentByteUtils,5
com.itextpdf.text.html.simpleparser.HTMLTagProcessor,10
com.itextpdf.text.pdf.interfaces.PdfXConformance,0
com.itextpdf.text.pdf.hyphenation.SimplePatternParser,5
com.itextpdf.awt.geom.AffineTransform,4
com.itextpdf.text.Chapter,4
com.itextpdf.text.pdf.CFFFont$SubrMarkerItem,4
com.itextpdf.text.pdf.fonts.cmaps.CMapToUnicode,4
com.itextpdf.text.pdf.codec.LZWCompressor,1
com.itextpdf.text.ListItem,4
com.itextpdf.awt.geom.Point2D$Double,1
com.itextpdf.text.Meta,4
com.itextpdf.text.pdf.crypto.AESCipher,0
com.itextpdf.awt.geom.QuadCurve2D$Iterator,4
com.itextpdf.awt.PdfGraphics2D,4
com.itextpdf.text.pdf.codec.wmf.MetaBrush,4
com.itextpdf.text.pdf.PdfSmartCopy,6
com.itextpdf.awt.geom.QuadCurve2D,4
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$BeginMarkedContentDictionary,9
com.itextpdf.text.pdf.collection.PdfCollectionField,4
com.itextpdf.text.pdf.PdfPage,4
com.itextpdf.text.pdf.PdfPattern,4
com.itextpdf.awt.PdfGraphics2D$HyperLinkKey,4
com.itextpdf.text.pdf.internal.PdfViewerPreferencesImp,4
com.itextpdf.text.pdf.interfaces.PdfAnnotations,4
com.itextpdf.text.Font$FontStyle,4
com.itextpdf.text.pdf.PdfStamperImp,4
com.itextpdf.text.pdf.qrcode.CharacterSetECI,0
com.itextpdf.text.pdf.PdfName,4
com.itextpdf.text.Element,4
com.itextpdf.awt.PdfGraphics2D$Kid,4
com.itextpdf.text.pdf.internal.PdfAnnotationsImp,4
com.itextpdf.text.xml.xmp.XmpSchema,2
com.itextpdf.text.pdf.events.FieldPositioningEvents,6
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$1,9
com.itextpdf.awt.geom.CubicCurve2D$Iterator,4
com.itextpdf.text.DocWriter,4
com.itextpdf.text.pdf.parser.PdfImageObject,6
com.itextpdf.text.pdf.PdfDocument$Indentation,4
com.itextpdf.text.pdf.PdfPKCS7$X509NameTokenizer,4
com.itextpdf.text.Rectangle,4
com.itextpdf.text.pdf.PdfChunk,4
com.itextpdf.text.pdf.XfaForm$Xml2SomTemplate,4
com.itextpdf.text.pdf.codec.TiffWriter$FieldUndefined,2
