ClassName, fwbr, fwbr_sub_type, fwbr_sub
com.itextpdf.text.ExceptionConverter, -0.7065822147411698, n, -0.7149526154872052
com.itextpdf.text.pdf.qrcode.Version, -5.98607786781364, n, -5.604341732727802
com.itextpdf.text.pdf.LtvVerification$1, -0.7540801391382729, n, -1.1875633328944057
com.itextpdf.text.pdf.codec.wmf.MetaObject, 0.4298227109605415, n, -0.2020174351924957
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage, -3.6771168026633485, n, -4.000236507286551
com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy, -6.915190895161005, n, -6.272870430123941
com.itextpdf.text.pdf.fonts.FontsResourceAnchor, -0.6010926466820399, n, -0.5893628394357854
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing, -7.559398311907675, n, -7.431155267845372
com.itextpdf.text.pdf.ArabicLigaturizer$charstruct, -0.6010926466820399, n, -0.5893628394357854
com.itextpdf.text.TextElementArray, -3.0789347956512, n, -3.45100787029188
com.itextpdf.text.pdf.CMapAwareDocumentFont, -12.044765982633232, n, -11.67437804868715
com.itextpdf.text.pdf.internal.PdfXConformanceImp, -12.037700733090732, n, -11.410589246810355
com.itextpdf.text.pdf.IntHashtable$Entry, -0.10477070614665474, n, -0.0709087371376953
com.itextpdf.text.pdf.PdfEncodings$SymbolConversion, -4.206974069303451, n, -3.893286322950438
com.itextpdf.text.pdf.ShadingColor, -5.09480972419664, n, -5.508239103132729
com.itextpdf.text.pdf.qrcode.ByteMatrix, 0.11884645778405933, n, 0.46188804708558706
com.itextpdf.text.pdf.qrcode.BitArray, 0.2462707719455437, n, 0.6239407343566663
com.itextpdf.text.html.simpleparser.ImageStore, -1.3551727858203129, n, -1.776926172330191
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState, -7.019041112293983, n, -6.784842401466811
com.itextpdf.text.pdf.codec.TiffImage, -10.959699016877796, n, -9.837618346154937
com.itextpdf.text.xml.xmp.XmpReader, -4.753982415827004, n, -3.578848029231587
com.itextpdf.text.pdf.OcspClient, -0.4440192436043722, n, -0.7348142194157781
com.itextpdf.text.pdf.BarcodePostnet, -6.783545019576289, n, -6.377496696951782
com.itextpdf.text.pdf.PdfOCG, -4.318776621068297, n, -4.661248708770562
com.itextpdf.text.pdf.CFFFont$UInt16Item, -3.2469449388595195, n, -3.4336980554469374
com.itextpdf.text.exceptions.UnsupportedPdfException, -4.431196941801621, n, -5.187799840180956
